id,dimension,question,reverse
1,EI,你喜欢参加社交活动并认识新朋友吗？,false
2,EI,你更喜欢独处而不是参加聚会吗？,true
3,EI,你在聚会中通常主动与人交谈吗？,false
4,EI,你觉得长时间与人交流会感到疲惫吗？,true
5,EI,你喜欢在大群体中表达自己的意见吗？,false
6,EI,你更倾向安静、独自思考而不是活跃社交吗？,true
7,EI,你喜欢主动与陌生人交流吗？,false
8,EI,你在公共场合容易紧张或不自在吗？,true
9,EI,你习惯同时和很多人互动吗？,false
10,EI,你更喜欢与熟悉的少数朋友相处吗？,true
11,EI,你在讨论中通常率先发言吗？,false
12,EI,你喜欢独自完成任务而非团队合作吗？,true
13,EI,你在社交场合会感到精力充沛吗？,false
14,EI,你更喜欢安静的环境而非喧闹的环境吗？,true
15,EI,你喜欢参与群体活动吗？,false
16,EI,你倾向独自规划活动而非与别人一起吗？,true
17,EI,你喜欢在公众面前展示自己吗？,false
18,EI,你不太喜欢频繁社交活动吗？,true
19,EI,你在聚会中容易感到精力充沛吗？,false
20,EI,你更愿意独自完成工作而非团队合作吗？,true
21,EI,你喜欢与陌生人建立联系吗？,false
22,EI,你常常觉得社交活动消耗你的精力吗？,true
23,EI,你在小组讨论中通常比较活跃吗？,false
24,SN,你注重实际细节胜过抽象概念吗？,false
25,SN,你喜欢探索可能性和未来趋势吗？,true
26,SN,你通常根据经验做决策吗？,false
27,SN,你更关注事物的潜在意义而非表面事实吗？,true
28,SN,你喜欢具体和现实的事物吗？,false
29,SN,你会被新想法和创新点吸引吗？,true
30,SN,你更倾向依赖已知事实而非猜测推理吗？,false
31,SN,你喜欢抽象理论和概念吗？,true
32,SN,你注重现实而非想象吗？,false
33,SN,你喜欢思考可能性而不是仅仅看到现实吗？,true
34,SN,你做事情喜欢循序渐进而非跳跃创新吗？,false
35,SN,你对未来趋势和大局有兴趣吗？,true
36,SN,你更关注眼前的具体细节吗？,false
37,SN,你喜欢探索未知而非重复已知吗？,true
38,SN,你喜欢实际经验而非理论分析吗？,false
39,SN,你倾向从灵感和直觉中寻找答案吗？,true
40,SN,你通常重视实际情况而非假设情境吗？,false
41,SN,你喜欢推演各种可能性吗？,true
42,SN,你注重事实和可验证信息吗？,false
43,SN,你喜欢思考抽象问题而非现实问题吗？,true
44,SN,你更关注细节和可操作步骤吗？,false
45,SN,你喜欢从直觉和洞察中获得启发吗？,true
46,SN,你习惯从经验出发而非凭空想象吗？,false
47,TF,你做决策更依赖逻辑而非情感吗？,false
48,TF,你会更多考虑他人感受而非理性分析吗？,true
49,TF,你在争论中以事实为依据而非感情为依据吗？,false
50,TF,你倾向体谅他人情绪而非严格讲道理吗？,true
51,TF,你做决定时更注重客观标准吗？,false
52,TF,你会更多考虑人际关系而非逻辑推理吗？,true
53,TF,你通常用逻辑分析问题而非感情判断吗？,false
54,TF,你常被他人感受左右决策吗？,true
55,TF,你倾向用理性解决冲突吗？,false
56,TF,你更容易被同理心引导而非逻辑引导吗？,true
57,TF,你认为事情应按规则和逻辑处理吗？,false
58,TF,你会更多考虑和谐与关系吗？,true
59,TF,你在决策中重视数据和事实吗？,false
60,TF,你会被人际感受影响判断吗？,true
61,TF,你倾向用理性解释世界吗？,false
62,TF,你更容易受情感驱动做出反应吗？,true
63,TF,你更注重公平和原则而非人际情绪吗？,false
64,TF,你会考虑他人需求而非只看逻辑吗？,true
65,TF,你习惯分析原因和逻辑而非感情吗？,false
66,TF,你在处理人际关系时会更多感性判断吗？,true
67,TF,你倾向客观评估他人而非同理心感受吗？,false
68,TF,你会被他人情绪影响决定吗？,true
69,TF,你做决定通常以逻辑为主而非情感为主吗？,false
70,JP,你喜欢计划安排而不是临时应变吗？,false
71,JP,你更喜欢灵活应对而不是严格计划吗？,true
72,JP,你通常按日程和计划行事吗？,false
73,JP,你更喜欢随遇而安吗？,true
74,JP,你喜欢提前安排活动吗？,false
75,JP,你习惯临时决定而非提前计划吗？,true
76,JP,你做事有条理和组织吗？,false
77,JP,你喜欢随机应变而非固定流程吗？,true
78,JP,你喜欢设定明确目标并完成吗？,false
79,JP,你更喜欢即兴处理事情吗？,true
80,JP,你倾向按计划完成任务吗？,false
81,JP,你会根据情况调整计划吗？,true
82,JP,你喜欢掌控事情进程吗？,false
83,JP,你在行动上更随性和灵活吗？,true
84,JP,你通常按时间表行事吗？,false
85,JP,你更愿意顺其自然而不是严格安排吗？,true
86,JP,你喜欢组织和安排生活吗？,false
87,JP,你更喜欢随机决策吗？,true
88,JP,你在工作中有条理吗？,false
89,JP,你容易被变化打乱计划吗？,true
90,JP,你喜欢提前计划而非临时应付吗？,false
91,JP,你通常按计划推进任务吗？,false
92,JP,你在生活中灵活应对变化吗？,true
