题目编号,题目内容,最终答案
1,你喜欢参加社交活动并认识新朋友吗？...,非常不符合
2,你更喜欢独处而不是参加聚会吗？...,非常不符合
3,你在聚会中通常主动与人交谈吗？...,非常不符合
4,你觉得长时间与人交流会感到疲惫吗？...,非常不符合
5,你喜欢在大群体中表达自己的意见吗？...,不太符合
6,你更倾向安静、独自思考而不是活跃社交吗？...,不太符合
7,你喜欢主动与陌生人交流吗？...,不太符合
8,你在公共场合容易紧张或不自在吗？...,不太符合
9,你习惯同时和很多人互动吗？...,一般
10,你更喜欢与熟悉的少数朋友相处吗？...,一般
11,你在讨论中通常率先发言吗？...,比较符合
12,你喜欢独自完成任务而非团队合作吗？...,比较符合
13,你在社交场合会感到精力充沛吗？...,比较符合
14,你更喜欢安静的环境而非喧闹的环境吗？...,比较符合
15,你喜欢参与群体活动吗？...,比较符合
16,你倾向独自规划活动而非与别人一起吗？...,比较符合
17,你喜欢在公众面前展示自己吗？...,一般
18,你不太喜欢频繁社交活动吗？...,一般
19,你在聚会中容易感到精力充沛吗？...,一般
20,你更愿意独自完成工作而非团队合作吗？...,一般
21,你喜欢与陌生人建立联系吗？...,一般
22,你常常觉得社交活动消耗你的精力吗？...,不太符合
23,你在小组讨论中通常比较活跃吗？...,一般
24,你注重实际细节胜过抽象概念吗？...,一般
25,你喜欢探索可能性和未来趋势吗？...,比较符合
26,你通常根据经验做决策吗？...,比较符合
27,你更关注事物的潜在意义而非表面事实吗？...,一般
28,你喜欢具体和现实的事物吗？...,一般
29,你会被新想法和创新点吸引吗？...,不太符合
30,你更倾向依赖已知事实而非猜测推理吗？...,不太符合
31,你喜欢抽象理论和概念吗？...,比较符合
32,你注重现实而非想象吗？...,比较符合
33,你喜欢思考可能性而不是仅仅看到现实吗？...,不太符合
34,你做事情喜欢循序渐进而非跳跃创新吗？...,不太符合
35,你对未来趋势和大局有兴趣吗？...,非常不符合
36,你更关注眼前的具体细节吗？...,比较符合
37,你喜欢探索未知而非重复已知吗？...,比较符合
38,你喜欢实际经验而非理论分析吗？...,比较符合
39,你倾向从灵感和直觉中寻找答案吗？...,不太符合
40,你通常重视实际情况而非假设情境吗？...,不太符合
41,你喜欢推演各种可能性吗？...,比较符合
42,你注重事实和可验证信息吗？...,非常符合
43,你喜欢思考抽象问题而非现实问题吗？...,比较符合
44,你更关注细节和可操作步骤吗？...,比较符合
45,你喜欢从直觉和洞察中获得启发吗？...,一般
46,你习惯从经验出发而非凭空想象吗？...,一般
47,你做决策更依赖逻辑而非情感吗？...,非常不符合
48,你会更多考虑他人感受而非理性分析吗？...,非常不符合
49,你在争论中以事实为依据而非感情为依据吗？...,一般
50,你倾向体谅他人情绪而非严格讲道理吗？...,比较符合
51,你做决定时更注重客观标准吗？...,比较符合
52,你会更多考虑人际关系而非逻辑推理吗？...,不太符合
53,你通常用逻辑分析问题而非感情判断吗？...,不太符合
54,你常被他人感受左右决策吗？...,比较符合
55,你倾向用理性解决冲突吗？...,比较符合
56,你更容易被同理心引导而非逻辑引导吗？...,不太符合
57,你认为事情应按规则和逻辑处理吗？...,比较符合
58,你会更多考虑和谐与关系吗？...,一般
59,你在决策中重视数据和事实吗？...,一般
60,你会被人际感受影响判断吗？...,不太符合
61,你倾向用理性解释世界吗？...,不太符合
62,你更容易受情感驱动做出反应吗？...,不太符合
63,你更注重公平和原则而非人际情绪吗？...,不太符合
64,你会考虑他人需求而非只看逻辑吗？...,不太符合
65,你习惯分析原因和逻辑而非感情吗？...,不太符合
66,你在处理人际关系时会更多感性判断吗？...,不太符合
67,你倾向客观评估他人而非同理心感受吗？...,不太符合
68,你会被他人情绪影响决定吗？...,不太符合
69,你做决定通常以逻辑为主而非情感为主吗？...,不太符合
70,你喜欢计划安排而不是临时应变吗？...,不太符合
71,你更喜欢灵活应对而不是严格计划吗？...,不太符合
72,你通常按日程和计划行事吗？...,不太符合
73,你更喜欢随遇而安吗？...,不太符合
74,你喜欢提前安排活动吗？...,不太符合
75,你习惯临时决定而非提前计划吗？...,不太符合
76,你做事有条理和组织吗？...,不太符合
77,你喜欢随机应变而非固定流程吗？...,不太符合
78,你喜欢设定明确目标并完成吗？...,不太符合
79,你更喜欢即兴处理事情吗？...,不太符合
80,你倾向按计划完成任务吗？...,不太符合
81,你会根据情况调整计划吗？...,不太符合
82,你喜欢掌控事情进程吗？...,不太符合
83,你在行动上更随性和灵活吗？...,不太符合
84,你通常按时间表行事吗？...,不太符合
85,你更愿意顺其自然而不是严格安排吗？...,不太符合
86,你喜欢组织和安排生活吗？...,不太符合
87,你更喜欢随机决策吗？...,不太符合
88,你在工作中有条理吗？...,不太符合
89,你容易被变化打乱计划吗？...,不太符合
90,你喜欢提前计划而非临时应付吗？...,不太符合
91,你通常按计划推进任务吗？...,不太符合
92,你在生活中灵活应对变化吗？...,不太符合
汇总统计,测试结果：MBTI类型=ESTP,完成92道题
